round,date,match_no,home_slot,away_slot,manual_home_team,manual_away_team,actual_home_score,actual_away_score,actual_winner,notes
Round of 32,2026-06-28,73,Runner-up Group A,Runner-up Group B,,,,,,
Round of 32,2026-06-29,74,Germany,3rd Group A/B/C/D/F,Germany,,,,,
Round of 32,2026-06-29,75,Winner Group F,Runner-up Group C,,,,,,
Round of 32,2026-06-29,76,Winner Group C,Runner-up Group F,,,,,,
Round of 32,2026-06-30,77,Winner Group I,3rd Group C/D/F/G/H,,,,,,
Round of 32,2026-06-30,78,Runner-up Group E,Runner-up Group I,,,,,,
Round of 32,2026-06-30,79,Mexico,3rd Group C/E/F/H/I,Mexico,,,,,
Round of 32,2026-07-01,80,Winner Group L,3rd Group E/H/I/J/K,,,,,,
Round of 32,2026-07-01,81,United States,3rd Group B/E/F/I/J,United States,,,,,
Round of 32,2026-07-01,82,Winner Group G,3rd Group A/E/H/I/J,,,,,,
Round of 32,2026-07-02,83,Runner-up Group K,Runner-up Group L,,,,,,
Round of 32,2026-07-02,84,Winner Group H,Runner-up Group J,,,,,,
Round of 32,2026-07-02,85,Winner Group B,3rd Group E/F/G/I/J,,,,,,
Round of 32,2026-07-03,86,Winner Group J,Runner-up Group H,,,,,,
Round of 32,2026-07-03,87,Winner Group K,3rd Group D/E/I/J/L,,,,,,
Round of 32,2026-07-03,88,Runner-up Group D,Runner-up Group G,,,,,,
Round of 16,2026-07-04,89,Winner Match 74,Winner Match 77,,,,,,
Round of 16,2026-07-04,90,Winner Match 73,Winner Match 75,,,,,,
Round of 16,2026-07-05,91,Winner Match 76,Winner Match 78,,,,,,
Round of 16,2026-07-05,92,Winner Match 79,Winner Match 80,,,,,,
Round of 16,2026-07-06,93,Winner Match 83,Winner Match 84,,,,,,
Round of 16,2026-07-06,94,Winner Match 81,Winner Match 82,,,,,,
Round of 16,2026-07-07,95,Winner Match 86,Winner Match 88,,,,,,
Round of 16,2026-07-07,96,Winner Match 85,Winner Match 87,,,,,,
Quarterfinals,2026-07-09,97,Winner Match 89,Winner Match 90,,,,,,
Quarterfinals,2026-07-10,98,Winner Match 93,Winner Match 94,,,,,,
Quarterfinals,2026-07-11,99,Winner Match 91,Winner Match 92,,,,,,
Quarterfinals,2026-07-11,100,Winner Match 95,Winner Match 96,,,,,,
Semifinals,2026-07-14,101,Winner Match 97,Winner Match 98,,,,,,
Semifinals,2026-07-15,102,Winner Match 99,Winner Match 100,,,,,,
Match for third place,2026-07-18,103,Loser Match 101,Loser Match 102,,,,,,
Final,2026-07-19,104,Winner Match 101,Winner Match 102,,,,,,
