date,group,match_no,home_team,away_team,actual_home_score,actual_away_score,predicted_home_score,predicted_away_score,predicted_outcome,actual_outcome,outcome_correct,exact_score_correct,outcome_probability,home_xg,away_xg,elo_diff
2026-06-22,Group I,41,Norway,Senegal,,,1,0,home_win,,,,0.7165354330708662,1.397,1.353,10.48
2026-06-22,Group I,42,France,Iraq,,,1,1,draw,,,,0.6976744186046511,2.103,0.899,276.04
2026-06-22,Group J,43,Argentina,Austria,,,1,0,home_win,,,,0.7165354330708662,1.916,0.987,215.74
2026-06-22,Group J,44,Jordan,Algeria,,,1,1,draw,,,,0.5185185185185185,1.154,1.639,-113.99
2026-06-23,Group L,45,England,Ghana,,,1,0,home_win,,,,0.7165354330708662,1.904,0.993,211.41
2026-06-23,Group L,46,Panama,Croatia,,,1,1,draw,,,,0.5185185185185185,1.162,1.627,-109.49
2026-06-23,Group K,47,Portugal,Uzbekistan,,,1,0,home_win,,,,0.7165354330708662,1.732,1.092,149.93
2026-06-23,Group K,48,Colombia,DR Congo,,,1,0,home_win,,,,0.7165354330708662,1.859,1.017,196.19
2026-06-24,Group C,49,Scotland,Brazil,,,0,2,away_win,,,,1.0,0.896,2.111,-278.59
2026-06-24,Group C,50,Morocco,Haiti,,,1,1,draw,,,,0.6976744186046511,2.039,0.927,256.21
2026-06-24,Group B,51,Switzerland,Canada,,,1,0,home_win,,,,0.7165354330708662,1.426,1.326,23.49
2026-06-24,Group B,52,Bosnia and Herzegovina,Qatar,,,0,1,away_win,,,,0.8510638297872339,1.298,1.457,-37.63
2026-06-24,Group A,53,Czech Republic,Mexico,,,0,1,away_win,,,,1.0,1.05,1.801,-175.44
2026-06-24,Group A,54,South Africa,South Korea,,,1,1,draw,,,,0.5185185185185185,1.181,1.6,-98.6
2026-06-25,Group E,55,Curaçao,Ivory Coast,,,1,1,draw,,,,0.5185185185185185,1.081,1.748,-156.19
2026-06-25,Group E,56,Ecuador,Germany,,,0,1,away_win,,,,1.0,0.995,1.901,-210.51
2026-06-25,Group F,57,Japan,Sweden,,,1,0,home_win,,,,0.7165354330708662,1.901,0.995,210.55
2026-06-25,Group F,58,Tunisia,Netherlands,,,0,2,away_win,,,,1.0,0.874,2.163,-294.36
2026-06-25,Group D,59,Turkey,United States,,,0,1,away_win,,,,1.0,1.002,1.886,-205.38
2026-06-25,Group D,60,Paraguay,Australia,,,1,1,draw,,,,0.5185185185185185,1.319,1.433,-26.92
2026-06-26,Group I,61,Norway,France,,,0,1,away_win,,,,1.0,1.068,1.771,-164.46
2026-06-26,Group I,62,Senegal,Iraq,,,1,1,draw,,,,0.6976744186046511,1.606,1.177,101.1
2026-06-26,Group G,63,Egypt,Iran,,,1,1,draw,,,,1.0,1.389,1.361,6.66
2026-06-26,Group G,64,New Zealand,Belgium,,,1,1,draw,,,,0.5185185185185185,1.007,1.877,-202.35
2026-06-26,Group H,65,Cape Verde,Saudi Arabia,,,1,1,draw,,,,0.6976744186046511,1.469,1.287,43.09
2026-06-26,Group H,66,Uruguay,Spain,,,0,1,away_win,,,,1.0,1.013,1.866,-198.37
2026-06-27,Group L,67,Panama,England,,,0,2,away_win,,,,1.0,0.921,2.054,-260.75
2026-06-27,Group L,68,Croatia,Ghana,,,1,0,home_win,,,,0.7165354330708662,1.508,1.253,60.15
2026-06-27,Group J,69,Algeria,Austria,,,1,0,home_win,,,,0.7165354330708662,1.375,1.375,-0.11
2026-06-27,Group J,70,Jordan,Argentina,,,0,2,away_win,,,,1.0,0.828,2.284,-329.84
2026-06-27,Group K,71,Colombia,Portugal,,,1,1,draw,,,,1.0,1.448,1.306,33.46
2026-06-27,Group K,72,DR Congo,Uzbekistan,,,0,1,away_win,,,,0.8510638297872339,1.348,1.402,-12.8
